Municipalities,2020,2021,2022,2023,2024
PUTNAM,9219,9227,"9,302","9,312","9,407"
REDDING,8742,8735,"8,746","8,719","8,830"
RIDGEFIELD,25009,25011,"25,007","24,931","25,300"
ROCKY HILL,20780,20746,"20,712","20,708","21,373"
ROXBURY,2260,2269,"2,279","2,297","2,310"
SALEM,4214,4200,"4,326","4,319","4,326"
SALISBURY,4191,4112,"4,239","4,240","4,279"
SCOTLAND,1576,1568,"1,577","1,578","1,598"
SEYMOUR,16707,16679,"16,809","16,953","17,139"
SHARON,2675,2675,"2,724","2,744","2,755"
SHELTON,40756,41474,"41,897","42,144","42,805"
SHERMAN,3521,3521,"3,537","3,530","3,601"
SIMSBURY,24516,24807,"24,935","24,953","25,353"
SOMERS,10254,10279,"9,843","10,725","10,905"
SOUTH WINDSOR,26903,26767,"26,783","26,773","27,062"
SOUTHBURY,19786,19796,"19,979","20,127","20,342"
SOUTHINGTON,43447,43500,"43,753","43,743","44,197"
SPRAGUE,2973,2950,"2,958","2,940","2,948"
STAFFORD,11460,11412,"11,449","11,567","11,692"
STAMFORD,135511,136309,"136,188","136,226","139,134"
STERLING,3581,3577,"3,623","3,644","3,694"
STONINGTON,18288,18427,"18,480","18,431","18,782"
STRATFORD,52265,52268,"52,477","52,454","53,610"
SUFFIELD,15725,15862,"15,731","15,650","15,964"
THOMASTON,7426,7453,"7,468","7,501","7,566"
THOMPSON,9185,9226,"9,315","9,385","9,513"
TOLLAND,14552,14511,"14,577","14,574","14,739"
TORRINGTON,35422,35357,"35,563","35,550","35,673"
TRUMBULL,36742,36950,"37,135","37,269","38,073"
UNION,784,781,793,797,805
VERNON,30218,30326,"30,625","30,596","30,895"
VOLUNTOWN,2564,2554,"2,592","2,612","2,650"
WALLINGFORD,44317,44194,"44,017","43,725","44,389"
WARREN,1348,1349,"1,352","1,367","1,378"
WASHINGTON,3644,3633,"3,666","3,685","3,721"
WATERBURY,114426,113811,"115,016","114,990","115,908"
WATERFORD,19516,19553,"19,603","19,829","19,910"
WATERTOWN,22083,22110,"22,183","22,274","22,497"
WEST HARTFORD,64019,63973,"64,271","63,969","64,184"
WEST HAVEN,55536,55294,"55,004","54,790","55,379"
WESTBROOK,6757,6810,"6,860","6,881","6,918"
WESTON,10360,10336,"10,354","10,344","10,490"
WESTPORT,27128,27279,"27,427","27,470","27,996"
WETHERSFIELD,27272,27124,"27,129","27,114","27,372"
WILLINGTON,5568,5528,"5,544","5,552","5,609"
WILTON,18465,18460,"18,457","18,400","19,255"
WINCHESTER,10226,10217,"10,240","10,236","10,309"
WINDHAM,24426,24362,"24,399","23,833","24,105"
WINDSOR,29413,29376,"29,453","29,372","29,658"
WINDSOR LOCKS,12592,12531,"12,537","12,529","12,643"
WOLCOTT,16117,16160,"16,190","16,309","16,511"
WOODBRIDGE,9074,9045,"9,051","9,021","9,130"
WOODBURY,9711,9761,"9,802","9,862","9,960"
WOODSTOCK,8228,8221,"8,312","8,346","8,434"
